id_str,from_user,text,Hashtags,Target,time
514815500703257000,Pepine,RT @mingarao: #websem14 petit débat s'amorce sur quelles licences mettre sur ses données mais on n'a pas le temps @spouyllau surveille la m…, #websem14 ,@mingarao @spouyllau,24/09/2014 17:35:54
514815448593211000,mingarao,#websem14 petit débat s'amorce sur quelles licences mettre sur ses données mais on n'a pas le temps @spouyllau surveille la montre #tantPis,#websem14 #tantPis,@spouyllau,24/09/2014 17:35:42
514815135429718000,emma_morlock,#websem14 de la #gymdata au pilotage par les données…,#websem14 #gymdata ,,24/09/2014 17:34:27
514815133315772000,spouyllau,RT @mingarao: #websem14 ChronoIsidore fait des misères à @spouyllau au pupitre alors que  sur ma machine ça marche nickel :( #effetDémo, #websem14 #effetDémo,@mingarao @spouyllau,24/09/2014 17:34:27
514814812426355000,spouyllau,@lespetitescases présente son mashup websem http://t.co/TZSIAWbKfk #websem14, #websem14,@lespetitescases,24/09/2014 17:33:10
514814278009102000,spouyllau,Chronosidore fonctionne pourtant !!! #effetdémo #websem14 http://t.co/2Bwkp6dosA http://t.co/mFsIL7k82i, #effetdémo #websem14 ,,24/09/2014 17:31:03
514813388858614000,seeksanusername,"Agréger, combiner, visualiser : les 3 phases d'un mashup selon @PierreEdouard_B @lespetitescases  #websem14", #websem14,@PierreEdouard_B @lespetitescases,24/09/2014 17:27:31
514813388858614000,seeksanusername,"Agréger, combiner, visualiser : les 3 phases d'un mashup selon @PierreEdouard_B @lespetitescases  #websem14", #websem14,@PierreEdouard_B @lespetitescases,24/09/2014 17:27:31
514809350695965000,neuromancien,"si @PierreEdouard_B est devenu bon en websem, je n'y suis pour rien, même si c'est un ancien étudiant à moi  #websem14", #websem14,@PierreEdouard_B,24/09/2014 17:11:28
514809105614377000,SoukaMystar,"������

 listen

������
http://t.co/dxq5B22Qrr  
#RT #websem14", #RT #websem14,,24/09/2014 17:10:30
514808929885647000,mingarao,#websem14 3e jour à 18h : @emma_morlock réclame + de #méthodo et de trucs sérieux/pas ludiques @lespetitescases accepte... #onSenSouviendra,#websem14 #méthodo #onSenSouviendra,@emma_morlock @lespetitescases,24/09/2014 17:09:48
514808555355251000,neuromancien,RT @lespetitescases: ping @PierreEdouard_B  dont je vais utiliser la prez à #websem14 sur les mashups faite pdt son stage à @AntidotNet, #websem14 ,@lespetitescases @PierreEdouard_B @AntidotNet,24/09/2014 17:08:18
514807626610532000,lespetitescases,ping @PierreEdouard_B  dont je vais utiliser la prez à #websem14 sur les mashups faite pdt son stage à @AntidotNet, #websem14 ,@PierreEdouard_B @AntidotNet,24/09/2014 17:04:37
